"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"57011",18392,110,0.0746926523402253,3522.28571428571,1,0.954545454545455,0.405405405405406,30,0.01,0.741176470588235,0.833333333333333,"India"
"57012",18393,111,0.0507670145228027,3475.85714285714,1,0.955223880597015,0.405405405405405,30,0.01,0.744186046511628,0.833333333333333,"India"
"57013",18394,112,0.0427588345402661,3556,1,0.955882352941176,0.405405405405405,30,0.01,0.747126436781609,0.833333333333333,"India"
"57014",18395,113,0.0309492426120631,3581.14285714286,1,0.956521739130435,0.405405405405405,30,0.01,0.75,0.833333333333333,"India"
"57015",18396,114,0.0275662240369275,3663.71428571429,1,0.957142857142857,0.405405405405405,30,0.01,0.752808988764045,0.833333333333333,"India"
"57016",18397,115,0.021654430438361,3727,1,0.957746478873239,0.405405405405405,30,0.01,0.755555555555556,0.833333333333333,"India"
"57017",18398,116,0.0275983173804538,3977.14285714286,1,0.958333333333333,0.405405405405405,30,0.01,0.758241758241758,0.833333333333333,"India"
"57018",18399,117,0.0217783257849238,4076.71428571429,1,0.958904109589041,0.405405405405406,30,0.01,0.760869565217391,0.833333333333333,"India"
"57019",18400,118,0.0219085491739188,4222.85714285714,1,0.95945945945946,0.405405405405405,30,0.01,0.763440860215054,0.833333333333333,"India"
"57020",18401,119,0.0390591937319481,4597.57142857143,1,0.96,0.405405405405405,30,0.01,0.765957446808511,0.833333333333333,"India"
"57021",18402,120,0.0379656335196304,4853.28571428571,1,0.960526315789474,0.405405405405405,30,0.01,0.768421052631579,0.833333333333333,"India"
"57022",18403,121,0.0448980900257333,5175.57142857143,1,0.961038961038961,0.405405405405406,30,0.01,0.770833333333333,0.833333333333333,"India"
"57023",18404,122,0.0542231055484874,5572.85714285714,1,0.961538461538462,0.405405405405405,30,0.01,0.77319587628866,0.833333333333333,"India"
"57024",18405,123,0.053009274672327,5825,1,0.962025316455696,0.405405405405405,30,0.01,0.775510204081633,0.833333333333333,"India"
"57025",18406,124,0.0532489695729679,6119.71428571429,1,0.9625,0.405405405405405,30,0.01,0.777777777777778,0.833333333333333,"India"
"57026",18407,125,0.0497890051261295,6374.57142857143,1,0.962962962962963,0.405405405405405,30,0.01,0.78,0.833333333333333,"India"
