"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"120913",18510,228,-0.0591284407767721,2047.57142857143,0,0.959349593495935,0.538160469667319,21,0.01,0.666666666666667,0.932203389830508,"South Africa"
"120914",18511,229,-0.021322157309873,1923,0,0.959409594095941,0.542253521126761,21,0.01,0.666666666666667,0.933333333333333,"South Africa"
"120915",18512,230,-0.00669874993847221,1760.14285714286,0,0.959467634603751,0.546273780575025,21,0.01,0.666666666666667,0.934426229508197,"South Africa"
"120916",18513,231,-0.0211693310427696,1740.28571428571,0,0.95952380952381,0.550223214285714,21,0.01,0.666666666666667,0.935483870967742,"South Africa"
"120917",18514,232,-0.0640063627773868,1690.85714285714,0,0.959578207381371,0.554103715802368,21,0.01,0.666666666666667,0.936507936507937,"South Africa"
"120918",18515,233,-0.097521028665362,1631.85714285714,0,0.959630911188005,0.557917109458023,21,0.01,0.666666666666667,0.9375,"South Africa"
"120919",18516,234,-0.0619878598828381,1617.14285714286,0,0.959681998864282,0.561665153676566,21,0.01,0.666666666666667,0.938461538461538,"South Africa"
"120920",18517,235,-0.0754380189014888,1618.57142857143,0,0.959731543624161,0.565349544072948,21,0.01,0.666666666666667,0.939393939393939,"South Africa"
"120921",18518,236,-0.0841440385182833,1610.85714285714,0,0.959779614325069,0.568971916367685,21,0.01,0.666666666666667,0.940298507462687,"South Africa"
"120922",18519,237,-0.0994681169481913,1626.71428571429,0,0.959826275787188,0.572533849129594,21,0.01,0.666666666666667,0.941176470588235,"South Africa"
"120923",18520,238,-0.117623738480023,1582.85714285714,0,0.959871589085072,0.576036866359447,21,0.01,0.666666666666667,0.942028985507246,"South Africa"
"120924",18521,239,-0.117448920053384,1573.28571428571,0,0.959915611814346,0.579482439926063,21,0.01,0.666666666666667,0.942857142857143,"South Africa"
"120925",18522,240,-0.108843616837636,1590.57142857143,0,0.959958398335933,0.582871991865326,21,0.01,0.666666666666667,0.943661971830986,"South Africa"
