"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"46304",19066,784,-0.383516706857153,69702.1428571429,0,0.748655408246829,0.858896222778955,21,0.01,0.742753623188406,0.862626262626263,"France"
"46305",19067,785,0.0479395885017193,75221.1428571429,1,0.748655408246829,0.857192657683107,21,0.01,0.740072202166065,0.862626262626263,"France"
"46306",19068,786,0.154348848996094,79054.2857142857,1,0.748655408246829,0.855495837032416,21,0.01,0.737410071942446,0.862626262626263,"France"
"46307",19069,787,0.187615164651085,82654,1,0.74865540824683,0.853805720853937,21,0.01,0.734767025089606,0.862626262626263,"France"
"46308",19070,788,0.178631274589183,86594,1,0.74865540824683,0.852122269489986,21,0.01,0.732142857142857,0.862626262626263,"France"
"46309",19071,789,0.147794789578898,89772.1428571429,1,0.74865540824683,0.850445443595034,21,0.01,0.729537366548043,0.862626262626263,"France"
"46310",19072,790,0.100736698460681,90044.5714285714,1,0.748655408246829,0.848775204132645,21,0.01,0.726950354609929,0.862626262626263,"France"
"46311",19073,791,0.131255526553129,99159.2857142857,1,0.74865540824683,0.847111512372444,21,0.01,0.724381625441696,0.862626262626263,"France"
"46312",19074,792,0.122292094965849,105610.571428571,1,0.749569973095753,0.847111512372445,21,0.01,0.725352112676056,0.862626262626263,"France"
"46313",19075,793,0.10624504536642,111058.285714286,1,0.750477906440201,0.847111512372445,21,0.01,0.726315789473684,0.862626262626263,"France"
"46314",19076,794,0.100156586983426,117624.285714286,1,0.751379280147123,0.847111512372444,21,0.01,0.727272727272727,0.862626262626263,"France"
"46315",19077,795,0.0887628287985827,123540.428571429,1,0.752274165048756,0.847111512372444,21,0.01,0.728222996515679,0.862626262626263,"France"
"46316",19078,796,0.0707795226954535,127667.714285714,1,0.753162630961179,0.847111512372445,21,0.01,0.729166666666667,0.862626262626263,"France"
"46317",19079,797,0.0424691057461631,128421.142857143,1,0.754044746702476,0.847111512372445,21,0.01,0.730103806228374,0.862626262626263,"France"
"46318",19080,798,0.039896974980666,133633.142857143,1,0.754920580110497,0.847111512372445,21,0.01,0.731034482758621,0.862626262626263,"France"
"46319",19081,799,0.0265335167950148,135771.571428571,1,0.755790198060257,0.847111512372444,21,0.01,0.731958762886598,0.862626262626263,"France"
"46320",19082,800,0.0216928933813378,139938.571428571,1,0.75665366648095,0.847111512372444,21,0.01,0.732876712328767,0.862626262626263,"France"
"46321",19083,801,0.00712910981682826,140714.857142857,0,0.757511050372616,0.847111512372445,21,0.01,0.733788395904437,0.862626262626263,"France"
"46322",19084,802,-0.00921940061375469,139657.285714286,0,0.758362413822453,0.847111512372444,21,0.01,0.73469387755102,0.862626262626263,"France"
"46323",19085,803,-0.0253902105509874,138527.571428571,0,0.75920782002078,0.847111512372444,21,0.01,0.735593220338983,0.862626262626263,"France"
"46324",19086,804,-0.0423573402824977,138857.714285714,0,0.756533352077037,0.84710838516926,21,0.01,0.735593220338983,0.860887096774194,"France"
"46325",19087,805,-0.0561251514238528,137726.714285714,0,0.753877770709987,0.847105270423235,21,0.01,0.735593220338983,0.859154929577465,"France"
"46326",19088,806,-0.0645744520823077,135138.857142857,0,0.751240875912409,0.847102168060082,21,0.01,0.735593220338983,0.857429718875502,"France"
